starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 17 16:19:36 2022	1668701976	3	67	70	67
Thu Nov 17 16:19:38 2022	1668701978	0	70	70	70
Thu Nov 17 16:19:36 2022	1668701976	4	67	70	67
Thu Nov 17 16:19:38 2022	1668701978	0	70	70	70
Thu Nov 17 16:19:38 2022	1668701978	0	70	70	70
Thu Nov 17 16:19:38 2022	1668701978	0	70	71	70
Thu Nov 17 16:19:38 2022	1668701978	0	71	71	71
Thu Nov 17 16:19:38 2022	1668701978	0	71	72	71
Thu Nov 17 16:19:36 2022	1668701976	4	68	72	68
Thu Nov 17 16:19:38 2022	1668701978	0	72	72	72
Thu Nov 17 16:19:38 2022	1668701978	0	72	72	72
Thu Nov 17 16:19:39 2022	1668701979	2	70	72	70
Thu Nov 17 16:19:39 2022	1668701979	2	70	72	70
Thu Nov 17 16:19:39 2022	1668701979	2	70	72	70
Thu Nov 17 16:19:39 2022	1668701979	0	72	72	72
Thu Nov 17 16:19:39 2022	1668701979	0	72	73	72
Thu Nov 17 16:19:38 2022	1668701978	0	72	73	72
Thu Nov 17 16:19:38 2022	1668701978	1	72	73	72
Thu Nov 17 16:19:38 2022	1668701978	0	73	73	73
Thu Nov 17 16:19:38 2022	1668701978	0	73	73	73
Thu Nov 17 16:19:38 2022	1668701978	2	71	74	71
Thu Nov 17 16:19:38 2022	1668701978	0	74	74	74
Thu Nov 17 16:19:38 2022	1668701978	0	74	74	74
Thu Nov 17 16:19:38 2022	1668701978	0	74	74	74
Thu Nov 17 16:19:38 2022	1668701978	0	74	74	74
Thu Nov 17 16:19:38 2022	1668701978	3	71	75	71
Thu Nov 17 16:19:38 2022	1668701978	0	75	75	75
Thu Nov 17 16:19:38 2022	1668701978	0	75	75	75
Thu Nov 17 16:19:38 2022	1668701978	0	76	76	76
Thu Nov 17 16:19:38 2022	1668701978	0	76	76	76
Thu Nov 17 16:19:38 2022	1668701978	0	76	76	76
Thu Nov 17 16:19:38 2022	1668701978	0	76	76	76
Thu Nov 17 16:19:38 2022	1668701978	3	74	76	74
Thu Nov 17 16:19:38 2022	1668701978	0	76	77	76
Thu Nov 17 16:19:38 2022	1668701978	0	77	77	77
Thu Nov 17 16:19:38 2022	1668701978	0	77	77	77
Thu Nov 17 16:19:36 2022	1668701976	4	73	77	73
Thu Nov 17 16:19:38 2022	1668701978	0	77	77	76
Thu Nov 17 16:19:36 2022	1668701976	4	73	77	73
Thu Nov 17 16:19:38 2022	1668701978	0	77	77	77
Thu Nov 17 16:19:38 2022	1668701978	0	77	77	76
Thu Nov 17 16:19:38 2022	1668701978	0	77	77	77
Thu Nov 17 16:19:38 2022	1668701978	0	77	77	77
Thu Nov 17 16:19:38 2022	1668701978	0	77	78	77
Thu Nov 17 16:19:39 2022	1668701979	2	76	78	76
Thu Nov 17 16:19:38 2022	1668701978	2	76	78	76
Thu Nov 17 16:19:36 2022	1668701976	3	75	78	75
Thu Nov 17 16:19:38 2022	1668701978	0	78	78	78
Thu Nov 17 16:19:38 2022	1668701978	0	78	79	78
Thu Nov 17 16:19:38 2022	1668701978	0	78	79	78
Thu Nov 17 16:19:38 2022	1668701978	0	78	79	78
Thu Nov 17 16:19:38 2022	1668701978	0	78	79	78
Thu Nov 17 16:19:38 2022	1668701978	0	79	79	79
Thu Nov 17 16:19:38 2022	1668701978	0	79	79	79
Thu Nov 17 16:19:38 2022	1668701978	0	79	79	79
Thu Nov 17 16:19:37 2022	1668701977	0	79	80	79
Thu Nov 17 16:19:38 2022	1668701978	0	80	80	80
Thu Nov 17 16:19:38 2022	1668701978	0	80	80	80
Thu Nov 17 16:19:38 2022	1668701978	0	80	80	80
Thu Nov 17 16:19:38 2022	1668701978	0	80	80	80
Thu Nov 17 16:19:38 2022	1668701978	0	80	81	80
Thu Nov 17 16:19:38 2022	1668701978	0	80	81	80
Thu Nov 17 16:19:38 2022	1668701978	0	80	81	80
Thu Nov 17 16:19:38 2022	1668701978	0	81	81	81
Thu Nov 17 16:19:38 2022	1668701978	0	81	81	81
Thu Nov 17 16:19:38 2022	1668701978	0	81	81	81
Thu Nov 17 16:19:38 2022	1668701978	0	81	81	81
Thu Nov 17 16:19:38 2022	1668701978	0	81	81	81
Thu Nov 17 16:19:38 2022	1668701978	0	81	81	81
Thu Nov 17 16:19:38 2022	1668701978	0	81	81	81
Thu Nov 17 16:19:38 2022	1668701978	0	81	82	81
Thu Nov 17 16:19:38 2022	1668701978	0	82	82	82
Thu Nov 17 16:19:37 2022	1668701977	1	81	82	81
Thu Nov 17 16:19:38 2022	1668701978	0	82	82	82
Thu Nov 17 16:19:38 2022	1668701978	0	82	82	82
Thu Nov 17 16:19:38 2022	1668701978	0	82	82	82
Thu Nov 17 16:19:38 2022	1668701978	0	82	82	82
Thu Nov 17 16:19:37 2022	1668701977	1	82	82	82
Thu Nov 17 16:19:38 2022	1668701978	0	82	82	82
Thu Nov 17 16:19:38 2022	1668701978	0	82	83	82
Thu Nov 17 16:19:38 2022	1668701978	0	82	83	82
Thu Nov 17 16:19:38 2022	1668701978	0	83	83	83
Thu Nov 17 16:19:38 2022	1668701978	0	83	83	80
Thu Nov 17 16:19:38 2022	1668701978	3	80	83	80
Thu Nov 17 16:19:38 2022	1668701978	0	83	83	83
Thu Nov 17 16:19:38 2022	1668701978	0	83	83	83
Thu Nov 17 16:19:38 2022	1668701978	0	83	83	83
Thu Nov 17 16:19:38 2022	1668701978	0	83	83	83
Thu Nov 17 16:19:38 2022	1668701978	0	83	84	83
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	84
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	84
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	84
Thu Nov 17 16:19:38 2022	1668701978	0	83	84	83
Thu Nov 17 16:19:38 2022	1668701978	3	81	84	81
Thu Nov 17 16:19:38 2022	1668701978	2	82	84	82
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	84
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	84
Thu Nov 17 16:19:38 2022	1668701978	2	82	84	82
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	84
Thu Nov 17 16:19:38 2022	1668701978	2	83	84	82
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	84
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	84
Thu Nov 17 16:19:38 2022	1668701978	0	84	84	82
Thu Nov 17 16:19:38 2022	1668701978	0	84	85	84
Thu Nov 17 16:19:38 2022	1668701978	0	84	85	84
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	84
Thu Nov 17 16:19:38 2022	1668701978	0	84	85	84
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	84
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:37 2022	1668701977	1	84	85	84
Thu Nov 17 16:19:37 2022	1668701977	1	85	85	84
